Name,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Solution status,Averaging start,Averaging end,Samples,Base easting,Base northing,Base elevation,Baseline
227_1,-114.0287076,46.68491431,1034.456,,-114.0287076,46.68491431,1034.456,,,,,2.134,FIX,2021-04-07 11:34:49.0 UTC-06:00,2021-04-07 11:34:49.1 UTC-06:00,1,-114.0327357,46.69263646,1101.899,0
227_2,-114.028438,46.68398048,1029.638,,-114.028438,46.68398048,1029.638,,,,,2.134,FIX,2021-04-07 11:38:52.0 UTC-06:00,2021-04-07 11:38:52.0 UTC-06:00,1,-114.0327357,46.69263646,1101.899,0
227_3,-114.0271522,46.68406356,1042.498,,-114.0271522,46.68406356,1042.498,,,,,2.134,FIX,2021-04-07 11:42:46.1 UTC-06:00,2021-04-07 11:42:46.1 UTC-06:00,1,-114.0327357,46.69263646,1101.899,0
227_4,-114.0272862,46.68493785,1047.26,,-114.0272862,46.68493785,1047.26,,,,,2.134,FIX,2021-04-07 11:47:57.5 UTC-06:00,2021-04-07 11:47:57.5 UTC-06:00,1,-114.0327357,46.69263646,1101.899,0
180_4,-114.0227438,46.69235941,1110.775,,-114.0227438,46.69235941,1110.775,,,,,2.134,FIX,2021-04-07 13:13:03.0 UTC-06:00,2021-04-07 13:13:03.0 UTC-06:00,1,-114.0327357,46.69263646,1101.899,0
180_1,-114.0240781,46.69226617,1108.856,,-114.0240781,46.69226617,1108.856,,,,,2.134,FIX,2021-04-07 13:16:22.8 UTC-06:00,2021-04-07 13:16:22.8 UTC-06:00,1,-114.0327357,46.69263646,1101.899,0
180_2,-114.0240379,46.69138665,1138.59,,-114.0240379,46.69138665,1138.59,,,,,2.134,FIX,2021-04-07 13:20:17.0 UTC-06:00,2021-04-07 13:20:17.0 UTC-06:00,1,-114.0327357,46.69263646,1101.899,0
180_3,-114.0225602,46.69146491,1140.489,,-114.0225602,46.69146491,1140.489,,,,,2.134,FIX,2021-04-07 13:23:24.8 UTC-06:00,2021-04-07 13:23:24.8 UTC-06:00,1,-114.0327357,46.69263646,1101.899,0
109_1,-114.0330987,46.70078362,1026.492,,-114.0330987,46.70078362,1026.492,,,,,2.134,FIX,2021-04-07 13:57:06.4 UTC-06:00,2021-04-07 13:57:06.4 UTC-06:00,1,-114.0327357,46.69263646,1101.899,0
109_2,-114.0330335,46.69990225,1031.978,,-114.0330335,46.69990225,1031.978,,,,,2.134,FIX,2021-04-07 14:00:17.8 UTC-06:00,2021-04-07 14:00:17.8 UTC-06:00,1,-114.0327357,46.69263646,1101.899,0
109_3,-114.0317053,46.69991301,1043.488,,-114.0317053,46.69991301,1043.488,,,,,2.134,FIX,2021-04-07 14:04:53.8 UTC-06:00,2021-04-07 14:04:53.8 UTC-06:00,1,-114.0327357,46.69263646,1101.899,0
109_4,-114.0317299,46.70077401,1035.722,,-114.0317299,46.70077401,1035.722,,,,,2.134,FIX,2021-04-07 14:08:46.1 UTC-06:00,2021-04-07 14:08:46.1 UTC-06:00,1,-114.0327357,46.69263646,1101.899,0
86_4,-114.0387318,46.70191455,989.789,,-114.0387318,46.70191455,989.789,,,,,2.134,FIX,2021-04-07 14:20:30.9 UTC-06:00,2021-04-07 14:20:30.9 UTC-06:00,1,-114.0327357,46.69263646,1101.899,0
86_1,-114.0400859,46.70195213,973.42,,-114.0400859,46.70195213,973.42,,,,,2.134,FIX,2021-04-07 14:25:41.6 UTC-06:00,2021-04-07 14:25:41.6 UTC-06:00,1,-114.0327357,46.69263646,1101.899,0
86_2,-114.0400284,46.70109492,979.292,,-114.0400284,46.70109492,979.292,,,,,2.134,FIX,2021-04-07 14:29:51.7 UTC-06:00,2021-04-07 14:29:51.7 UTC-06:00,1,-114.0327357,46.69263646,1101.899,0
86_3,-114.03873,46.7010154,988.086,,-114.03873,46.7010154,988.086,,,,,2.134,FIX,2021-04-07 14:34:48.7 UTC-06:00,2021-04-07 14:34:48.7 UTC-06:00,1,-114.0327357,46.69263646,1101.899,0
45_1,-114.03616,46.71145557,1006.088,,-114.03616,46.71145557,1006.088,,,,,2.134,FIX,2021-04-07 15:59:33.9 UTC-06:00,2021-04-07 15:59:33.9 UTC-06:00,1,-114.0327357,46.69263646,1101.899,0
45_2,-114.0360951,46.71053275,1003.715,,-114.0360951,46.71053275,1003.715,,,,,2.134,FIX,2021-04-07 16:04:27.0 UTC-06:00,2021-04-07 16:04:27.1 UTC-06:00,1,-114.0327357,46.69263646,1101.899,0
45_3,-114.0347566,46.71056194,1016.01,,-114.0347566,46.71056194,1016.01,,,,,2.134,FIX,2021-04-07 16:08:30.1 UTC-06:00,2021-04-07 16:08:30.1 UTC-06:00,1,-114.0327357,46.69263646,1101.899,0
45_4,-114.0347611,46.71136317,1019.197,,-114.0347611,46.71136317,1019.197,,,,,2.134,FIX,2021-04-07 16:13:55.2 UTC-06:00,2021-04-07 16:13:55.2 UTC-06:00,1,-114.0327357,46.69263646,1101.899,0
176_1,-114.0366006,46.6912608,1029.446,,-114.0366006,46.6912608,1029.446,,,,,2.134,FIX,2021-04-06 13:20:39.6 UTC-06:00,2021-04-06 13:20:39.6 UTC-06:00,1,-114.0327357,46.69263646,1099.765,339.811
176_2,-114.036488,46.69018528,1000.254,,-114.036488,46.69018528,1000.254,,,,,2.134,FIX,2021-04-06 13:30:07.0 UTC-06:00,2021-04-06 13:30:07.0 UTC-06:00,1,-114.0327357,46.69263646,1099.765,407.637
176_3,-114.0353055,46.69039735,1021.412,,-114.0353055,46.69039735,1021.412,,,,,2.134,FIX,2021-04-06 13:36:58.7 UTC-06:00,2021-04-06 13:36:58.7 UTC-06:00,1,-114.0327357,46.69263646,1099.765,326.249
176_4,-114.0353773,46.69130218,1043.439,,-114.0353773,46.69130218,1043.439,,,,,2.134,FIX,2021-04-06 14:09:05.5 UTC-06:00,2021-04-06 14:09:05.5 UTC-06:00,1,-114.0327357,46.69263646,1099.765,256.492
192_1,-114.0266314,46.69006175,1121.171,,-114.0266314,46.69006175,1121.171,,,,,2.134,FIX,2021-04-06 12:06:42.4 UTC-06:00,2021-04-06 12:06:42.4 UTC-06:00,1,-114.0327357,46.69263646,1099.765,548.276
192_2,-114.026634,46.68912482,1125.55,,-114.026634,46.68912482,1125.55,,,,,2.134,FIX,2021-04-06 12:11:41.2 UTC-06:00,2021-04-06 12:11:41.2 UTC-06:00,1,-114.0327357,46.69263646,1099.765,609.215
192_3,-114.0253378,46.68907206,1138.486,,-114.0253378,46.68907206,1138.486,,,,,2.134,FIX,2021-04-06 12:15:41.9 UTC-06:00,2021-04-06 12:15:41.9 UTC-06:00,1,-114.0327357,46.69263646,1099.765,692.148
192_4,-114.0253916,46.69002449,1136.623,,-114.0253916,46.69002449,1136.623,,,,,2.134,FIX,2021-04-06 12:19:50.3 UTC-06:00,2021-04-06 12:19:50.3 UTC-06:00,1,-114.0327357,46.69263646,1099.765,633.679
135_1,-114.0381347,46.69535656,1032.726,,-114.0381347,46.69535656,1032.726,,,,,2.134,FIX,2021-04-06 13:17:12.9 UTC-06:00,2021-04-06 13:17:12.9 UTC-06:00,1,-114.0327357,46.69263646,1099.765,516.018
135_2,-114.0380697,46.69447776,1034.901,,-114.0380697,46.69447776,1034.901,,,,,2.134,FIX,2021-04-06 13:23:47.7 UTC-06:00,2021-04-06 13:23:47.7 UTC-06:00,1,-114.0327357,46.69263646,1099.765,460.833
135_3,-114.0367087,46.6944345,1055.88,,-114.0367087,46.6944345,1055.88,,,,,2.134,FIX,2021-04-06 13:28:45.2 UTC-06:00,2021-04-06 13:28:45.2 UTC-06:00,1,-114.0327357,46.69263646,1099.765,366.187
135_4,-114.0367379,46.69531648,1045.296,,-114.0367379,46.69531648,1045.296,,,,,2.134,FIX,2021-04-06 13:32:22.8 UTC-06:00,2021-04-06 13:32:22.8 UTC-06:00,1,-114.0327357,46.69263646,1099.765,430.434
nutnet1,-114.0232022,46.69151407,1134.093,,-114.0232022,46.69151407,1134.093,,,,,2.134,FIX,2021-04-06 14:55:52.5 UTC-06:00,2021-04-06 14:55:52.5 UTC-06:00,1,-114.0327357,46.69263646,1099.765,740.854
nutnet2,-114.0231304,46.691061,1146.501,,-114.0231304,46.691061,1146.501,,,,,2.134,FIX,2021-04-06 14:59:38.3 UTC-06:00,2021-04-06 14:59:38.3 UTC-06:00,1,-114.0327357,46.69263646,1099.765,757.026
nutnet3,-114.0208706,46.69127997,1148.501,,-114.0208706,46.69127997,1148.501,,,,,2.134,FIX,2021-04-06 15:04:50.9 UTC-06:00,2021-04-06 15:04:50.9 UTC-06:00,1,-114.0327357,46.69263646,1099.765,921.594
nutnet4,-114.0204786,46.69145347,1146.845,,-114.0204786,46.69145347,1146.845,,,,,2.134,FIX,2021-04-06 15:11:50.2 UTC-06:00,2021-04-06 15:11:50.2 UTC-06:00,1,-114.0327357,46.69263646,1099.765,948.188
nutnet5,-114.020515,46.69171725,1139.142,,-114.020515,46.69171725,1139.142,,,,,2.134,FIX,2021-04-06 15:14:35.6 UTC-06:00,2021-04-06 15:14:35.6 UTC-06:00,1,-114.0327357,46.69263646,1099.765,941.425
181_2,-114.0207089,46.69184322,1133.916,,-114.0207089,46.69184322,1133.916,,,,,2.134,FIX,2021-04-06 15:19:15.6 UTC-06:00,2021-04-06 15:19:15.6 UTC-06:00,1,-114.0327357,46.69263646,1099.765,925.039
181_3,-114.0193354,46.69209766,1144.045,,-114.0193354,46.69209766,1144.045,,,,,2.134,FIX,2021-04-06 15:24:22.2 UTC-06:00,2021-04-06 15:24:22.2 UTC-06:00,1,-114.0327357,46.69263646,1099.765,1027.978
181_4,-114.0194826,46.69293681,1125.868,,-114.0194826,46.69293681,1125.868,,,,,2.134,FIX,2021-04-06 15:28:33.3 UTC-06:00,2021-04-06 15:28:33.3 UTC-06:00,1,-114.0327357,46.69263646,1099.765,1014.854
