point,habitat,type,cover_pct
329,forage grass diversification,forb,36
84,forage grass diversification,forb,12.5
192,forage grass diversification,forb,7
179,forage grass diversification,forb,4.5
80,forage grass diversification,forb,4
83,forage grass diversification,forb,3.5
74,forage grass diversification,forb,1.5
330,forage grass diversification,forb,1.5
79,forage grass diversification,forb,1
141,forage grass diversification,forb,1
344,forage grass diversification,forb,1
80,forage grass diversification,graminoid,134
140,forage grass diversification,graminoid,128.5
99,forage grass diversification,graminoid,125.5
150,forage grass diversification,graminoid,121.5
319,forage grass diversification,graminoid,116.5
123,forage grass diversification,graminoid,114
98,forage grass diversification,graminoid,113
318,forage grass diversification,graminoid,109.5
149,forage grass diversification,graminoid,104.5
138,forage grass diversification,graminoid,102
328,forage grass restoration,forb,47
188,forage grass restoration,forb,39
316,forage grass restoration,forb,21.5
70,forage grass restoration,forb,16
198,forage grass restoration,forb,7
351,forage grass restoration,forb,6.5
45,forage grass restoration,forb,4.5
303,forage grass restoration,forb,4
54,forage grass restoration,forb,1.5
119,forage grass restoration,forb,1.5
302,forage grass restoration,forb,1.5
53,forage grass restoration,graminoid,113.5
228,forage grass restoration,graminoid,92.5
227,forage grass restoration,graminoid,84.5
54,forage grass restoration,graminoid,84
198,forage grass restoration,graminoid,72.5
87,forage grass restoration,graminoid,67.5
108,forage grass restoration,graminoid,57
178,forage grass restoration,graminoid,56.5
70,forage grass restoration,graminoid,54.5
188,forage grass restoration,graminoid,54.5
55,uncultivated grassland native or degraded,forb,55.5
92,uncultivated grassland native or degraded,forb,51
5,uncultivated grassland native or degraded,forb,50
19,uncultivated grassland native or degraded,forb,37.5
100,uncultivated grassland native or degraded,forb,31.5
4,uncultivated grassland native or degraded,forb,29.5
12,uncultivated grassland native or degraded,forb,28
63,uncultivated grassland native or degraded,forb,28
355,uncultivated grassland native or degraded,forb,28
174,uncultivated grassland native or degraded,forb,26
473,uncultivated grassland native or degraded,graminoid,108.5
181,uncultivated grassland native or degraded,graminoid,99
127,uncultivated grassland native or degraded,graminoid,92
322,uncultivated grassland native or degraded,graminoid,87
336,uncultivated grassland native or degraded,graminoid,84.5
176,uncultivated grassland native or degraded,graminoid,83
3,uncultivated grassland native or degraded,graminoid,82.5
5,uncultivated grassland native or degraded,graminoid,79.5
121,uncultivated grassland native or degraded,graminoid,79.5
331,uncultivated grassland native or degraded,graminoid,78.5
