grid_point,habitat,forb_pct,grass_pct,forb_rank,grass_rank,diff_rank
329,diversified,36,32.5,25,4,-21
152,diversified,6.5,17,20,2,-18
308,diversified,9.5,33.5,23,5,-18
84,diversified,12.5,53,24,8,-16
307,diversified,5,17.5,19,3,-16
179,diversified,4.5,51,18,7,-11
276,diversified,7,57,21.5,12,-9.5
195,diversified,2,38,14.5,6,-8.5
344,diversified,1,0,7.5,0,-7.5
274,diversified,1.5,53.5,12,9,-3
345,diversified,0,0.5,0,1,1
81,diversified,1,54,7.5,10,2.5
192,diversified,7,84.5,21.5,24,2.5
306,diversified,2,75,14.5,18,3.5
83,diversified,3.5,82.5,16,21,5
194,diversified,1,61,7.5,13,5.5
79,diversified,1,66.5,7.5,15,7.5
200,diversified,0,56,0,11,11
82,diversified,1,78.5,7.5,19,11.5
141,diversified,1,81,7.5,20,12.5
193,diversified,0.5,67.5,2.5,16,13.5
346,diversified,0,63.5,0,14,14
74,diversified,1.5,87.5,12,27,15
261,diversified,0,74,0,17,17
142,diversified,0.5,83,2.5,22,19.5
330,diversified,1.5,101.5,12,32.5,20.5
246,diversified,0,84,0,23,23
320,diversified,0,85.5,0,25,25
317,diversified,0,86,0,26,26
275,diversified,0.5,92,2.5,29,26.5
80,diversified,4,134,17,45,28
139,diversified,0,88.5,0,28,28
304,diversified,0,93,0,30,30
122,diversified,0,101,0,31,31
124,diversified,0,101.5,0,32.5,32.5
138,diversified,0,102,0,34,34
149,diversified,0,104.5,0,35,35
318,diversified,0,109.5,0,36,36
212,diversified,0,110.5,0,37,37
319,diversified,0.5,116.5,2.5,40,37.5
98,diversified,0,113,0,38,38
123,diversified,0,114,0,39,39
305,diversified,0,121,0,41,41
150,diversified,0,121.5,0,42,42
99,diversified,0,125.5,0,43,43
140,diversified,0,128.5,0,44,44
119,restored,1.5,0,7,0,-7
77,restored,1,0,5,0,-5
316,restored,21.5,16.5,16,14,-2
148,restored,0,0.5,0,1,1
137,restored,0,1,0,2,2
120,restored,0,1.5,0,3,3
135,restored,0,4,0,4,4
341,restored,0.5,7,2.5,7,4.5
190,restored,0,4.5,0,5,5
351,restored,6.5,29,11,17,6
570,restored,16.5,40.5,15,21,6
244,restored,0,5,0,6,6
571,restored,16,34.5,13.5,20,6.5
328,restored,47,51,18,25,7
107,restored,0,8.5,0,8.5,8.5
189,restored,0,8.5,0,8.5,8.5
260,restored,0,11.5,0,10,10
188,restored,39,54.5,17,27.5,10.5
302,restored,1.5,29.5,7,18,11
109,restored,0,12,0,11,11
177,restored,0,13,0,12,12
191,restored,0.5,17.5,2.5,15,12.5
45,restored,4.5,46,10,23,13
245,restored,0,13.5,0,13,13
70,restored,16,54.5,13.5,27.5,14
